Employer,total_approvals,states,cities,zip_codes
200 TRIBECA RESTAURANT LLC DBA MAR,1,NY,NEW YORK,10013.0
2046 BHAG LLC,1,TX,DALLAS,75204.0
208 FOOT SPA LLC,1,CT,MANCHESTER,6042.0
21 STAFF LLC,18,CA,PLEASANTON,94588.0
21ST CENTURY HOME HEALTH SVCS INC,2,CA,BURLINGAME,94010.0
21ST CENTURY US-SINO SVCS INC DBA,1,IL,CHICAGO,60616.0
"22 MILES DIGITAL SIGNAGE, INC",1,GA,NORCROSS,30092.0
22 MILES INC,1,CA,MILPITAS,95035.0
2221 PARK PLACE PARTNERS LLC,1,CA,MANHATTAN BEACH,90266.0
22MILES DIGITAL SIGNAGE INC,2,GA,DULUTH,30096.0
22ND CENTURY TECHNOLOGIES INC,10,NJ,SOMERSET,8873.0
22SQUARED INC,1,GA,ATLANTA,30309.0
23ANDME INC,15,CA,MOUNTAIN VIEW,94041.0
24 7 AI INC,14,CA,SAN JOSE,95124.0
24 HOUR MALL INC,1,ME,BANGOR,4401.0
24 ON PHYSICIANS OF CALIFORNIA PC,1,GA,ALPHARETTA,30009.0
24 OURS MEDIA LLC,1,NY,BROOKLYN,11201.0
247 GROUP LLC D B A LAUNDRY SERVIC,1,CA,LOS ANGELES,90024.0
247 GROUP LLC DBA LAUNDRY SERVICE,2,CA,LOS ANGELES,90024.0
247JOBHUNT INC,2,MI,LIVONIA,48186.0
24G LLC,1,MI,TROY,48084.0
24M TECHNOLOGIES INC,3,MA,CAMBRIDGE,2139.0
252 SOLUTIONS LLC,1,ID,POCATELLO,83201.0
26 FLAVORS DBA SINGLE SERVE BEVERA,1,NJ,NEWARK,7104.0
2600HZ INC,1,NV,HENDERSON,89052.0
27 VIRTUAL CONSULTING LLC,1,FL,TAMPA,33629.0
280 TECHNOLOGIES LLC,1,CA,SAN FRANCISCO,94105.0
2A USA INC,2,AL,AUBURN,36832.0
2FLO VENTURES LLC,1,IL,CHICAGO,60654.0
2GO PRODUCTS LLC,4,CA,SAN DIEGO,92122.0
2H OFFSHORE INC,2,TX,HOUSTON,77079.0
2K GAMES INC,13,CA,NOVATO,94949.0
2KB ENERGY SERVICES LLC,1,GA,ATLANTA,30309.0
2M ARCHITECTURE,1,CA,SAN FRANCISCO,94110.0
2M RESEARCH SERVICES LLC,2,TX,ARLINGTON,76011.0
2M SOLUTIONS INC,3,TX,GRAND PRAIRIE,75050.0
2MC EMPLOYEE MGMT LLC,2,OH,CINCINNATI,45249.0
2ND CHANCE LUXURY AUTOS LLC DBA CA,1,TX,PLANO,75093.0
2ND CHANCE TREATMENT CENTERS PLLC,4,AZ,PHOENIX,85032.0
2ND ORDER SOLUTIONS INC,10,VA,GLEN ALLEN,23060.0
2NDKITCHEN INC,1,CA,SAN FRANCISCO,94133.0
2PS INVESTMENTS LLC D B A HERITAGE,1,MA,BOSTON,2116.0
2PS INVESTMENTS LLC DBA HERITAGE H,1,MA,BOSTON,2116.0
2SEVENTY BIO INC,3,MA,CAMBRIDGE,2142.0
2ULAUNDRY INC,1,NC,CHARLOTTE,28209.0
2X4 INC,1,NY,NEW YORK,10014.0
3 DOTS IT SOLUTIONS LLC,1,NC,CARY,27519.0
3 GIS LLC,3,AL,DECATUR,35601.0
3 KEY CONSULTING INC,6,CA,SIMI VALLEY,93063.0
"3 KEY CONSULTING, INC.",3,CA,SIMI VALLEY,93063.0
3 ROCKS ENGINEERING LLC,1,CO,CANON CITY,81212.0
3 YEO INC,2,NJ,PALISADES PK,7650.0
3-GIS LLC,1,AL,DECATUR,35601.0
300 ENGINEERING GROUP P A,1,FL,MIAMI,33134.0
300 ENGRG GROUP PA,1,FL,MIAMI,33134.0
309 CENTRAL LLC,1,NY,ALBANY,12206.0
314E CORPORATION,3,CA,PLEASANTON,94566.0
317 LABS INC DBA EMOTIVE,2,CA,LOS ANGELES,90064.0
323 BEACON ST LLC DBA DAVID XIAO R,1,MA,NEWTON,2459.0
36 AVENUE INC,1,NY,NEW YORK,10004.0
360 DEGREE CUSTOMER INC,2,CA,SANTA CLARA,95054.0
"360 ENGINEERING GROUP, PLLC",1,OK,TULSA,74120.0
360 PROPERTIES LLC,1,CT,WEST HARTFORD,6107.0
360 RAIL SERVICES LLC,1,CO,ENGLEWOOD,80112.0
360I LLC,4,NY,NEW YORK,10013.0
"360I, LLC",2,NY,NEW YORK,10013.0
365 RETAIL MARKETS LLC,3,MI,TROY,48084.0
3650 ASSOCIATES LLC,1,FL,MIAMI,33133.0
380 EAST VENTURES LLC D/B/A THE FA,1,NY,NEW YORK,10016.0
3890 MANAGEMENT LLC DBA TEN HEALTH,1,MO,SAINT LOUIS,63132.0
3A SOFT INC,5,NJ,PISCATAWAY,8854.0
3ADVANCE LLC,1,DC,WASHINGTON,20036.0
3AMIGOSIT LLC,18,OH,COLUMBUS,43235.0
3B STAFFING LLC,19,NJ,NEWARK,7102.0
3BEES TECHNOLOGIES INC,27,TX,IRVING,75039.0
3BRIDGE SOLUTIONS LLC DBA THREEBRI,1,MN,MINNEAPOLIS,55402.0
3C ENVIRONMENTAL SOLUTIONS INC,1,TX,CARROLLTON,75006.0
3CINTERACTIVE CORP,1,FL,BOCA RATON,33487.0
3CORE SYSTEMS INC,5,TX,AUSTIN,78758.0
3D ACCESS INC,1,CA,FREMONT,94539.0
3D ACCESS INDUSTRIES,1,CA,FREMONT,94539.0
3D ARRAY TECHNOLOGY,1,CT,STORRS MANSFIELD,6269.0
3D IMAGING AND SIMULATION CORP AME,2,VA,HERNDON,20170.0
3D SYSTEMS INC,6,SC,ROCK HILL,29730.0
3D TECHNOLOGIES LLC,24,OK,DURANT,74701.0
3DEO INC,2,CA,TORRANCE,90505.0
3DI INC,2,CA,BREA,92821.0
3DI INC DBA 3DI SYSTEMS INC,1,CA,BREA,92821.0
"3DI, INC.",2,CA,BREA,92821.0
3DN SOLUTIONS LLC,1,MI,TROY,48098.0
3E COMPANY ENVIRONMENTAL ECOLOGICAL AND ENGINEERING DBA 3E,1,CA,CARLSBAD,92010.0
3E INTL EDUCATION & CONSULTING LLC,1,TX,HOUSTON,77024.0
3EDGEUSA GROUP LLC,7,NJ,PISCATAWAY,8854.0
3G SAHANA CAPITAL MANAGEMENT LP,2,CT,GREENWICH,6830.0
3GTMS LLC,1,CT,SHELTON,6484.0
3H SYSTEMS LLC,1,GA,ALPHARETTA,30005.0
3I INFOTECH INC,89,NJ,EDISON,8837.0
3I PEOPLE INC,4,GA,ALPHARETTA,30022.0
3IC RESEARCH LLC,4,MA,BOSTON,2109.0
3IGEEKS LLC,5,LA,BATON ROUGE,70827.0
3IS SOLUTIONS INC,1,IL,NAPERVILLE,60540.0
3ITEK LLC,5,NC,CHARLOTTE,28262.0
3J INTERNATIONAL LTD CO,3,TX,IRVING,75038.0
3K TECHNOLOGIES LLC,36,CA,MILPITAS,95035.0
3KEY CONSULTING INC,10,CA,SIMI VALLEY,93063.0
3M COMPANY,54,MN,SAINT PAUL,55144.0
3MD INC DBA DENALI ADVANCED,1,WA,REDMOND,98052.0
3NRIT INC,1,TX,HOUSTON,77036.0
3NT MEDICAL INC,1,NJ,SHORT HILLS,7078.0
3PL CENTRAL LLC,2,CA,EL SEGUNDO,90245.0
3PLAY MEDIA INC,1,MA,BOSTON,2114.0
3Q DIGITAL,2,IL,CHICAGO,60602.0
3QI LABS INC,4,CA,SAN FRANCISCO,94105.0
3R INFO LLC,8,MI,CANTON,48187.0
3RD STONE DESIGN INC,1,CA,SAN RAFAEL,94901.0
3RED PARTNERS LLC,1,IL,CHICAGO,60606.0
3S BUSINESS CORPORATION,73,TX,HOUSTON,77082.0
3S ENGINEERING AND DESIGN LLC,1,TX,MIDLAND,79705.0
3S NETWORK INC,5,CA,TUSTIN,92780.0
3SIXTY FUNDRAISING LLC,2,NY,NEW YORK,10001.0
3TC ROBOTICS LLC,2,PA,YORK,17401.0
3XN USA LLC,1,NY,BROOKLYN,11205.0
4 FUSION LLC DBA EMBARCADERO 41,1,FL,SUNRISE,33325.0
4 PEAKS BUSINESS SOLUTION LLC,19,DE,WILMINGTON,19809.0
4 QUL MANAGEMENT LLC,1,TX,SUGAR LAND,77479.0
4 S T E L ENGINEERING INC,1,CA,MISSION VIEJO,92691.0
4 SERV SOLUTIONS INC,8,MI,NOVI,48377.0
4 TOWNS DENTAL SVCS PA DBA ADVANCE,1,FL,ALTAMONTE SPRINGS,32714.0
"4-SERV SOLUTIONS, INC.",2,MI,WIXOM,48393.0
400 CAPITAL MANAGEMENT LLC,1,NY,NEW YORK,10022.0
41ST PARAMETER INC,4,CA,COSTA MESA,92626.0
42 NORTH DENTAL CARE LLC,17,MA,WALTHAM,2451.0
42 TECHNOLOGIES INC,1,CA,SAN FRANCISCO,94105.0
44 DESIGN LLC,1,NY,BROOKLYN,11222.0
47 VENTURES LLC,1,CA,BRENTWOOD,94513.0
4700 NORTH BAY ROAD LLC,2,OH,DUBLIN,43017.0
4A CONSULTING LLC,1,MD,ELLICOTT CITY,21043.0
4A SOLUTIONS LLC,1,TX,AUSTIN,78759.0
4B TECHNOLOGY GROUP LLC,1,TX,HOUSTON,77067.0
4C AIR INC,1,CA,SUNNYVALE,94089.0
4C INSIGHTS INC,3,IL,CHICAGO,60601.0
4C PHARMA SOLUTIONS LLC,3,NJ,PISCATAWAY,8854.0
4CONSULTING INC,19,TX,DALLAS,75231.0
4D SYSTEMS LLC,3,MI,FLINT,48507.0
4D VISION LLC,1,MA,PEABODY,1960.0
4DREPLAY INC,1,CA,SAN FRANCISCO,94103.0
4EARTH INC,1,GA,ATLANTA,30318.0
4GEN BEARING COMPANY,1,IL,WAUKEGAN,60085.0
4I APPS SOLUTIONS LLC,5,MD,GERMANTOWN,20876.0
4IQ INC,1,CA,LOS ALTOS,94022.0
4M HOSPITALIST SERVICES LLC,1,MD,GERMANTOWN,20876.0
4P CONSULTING INC,1,GA,MARIETTA,30066.0
4S TECHNOLOGIES LLC,5,IL,GLENDALE HEIGHTS,60139.0
"4SCHOOLERS, LLC",1,MA,BROOKLINE,2446.0
4TECH LLC,1,TN,MEMPHIS,38134.0
4TH DIMENSION EMR INC,1,CA,SAN DIEGO,92122.0
4TH SECTOR SOLUTIONS INC,1,LA,BATON ROUGE,70809.0
4WEB INC,2,TX,FRISCO,75034.0
5 STAR LLC DBA VERNON DANIEL ASSOC,1,VA,MCLEAN,22102.0
500 DESIGNS LLC,1,CA,IRVINE,92618.0
500PX INC,1,DE,DOVER,19901.0
511 CAPITAL LLC,1,IL,EVANSTON,60201.0
516 ARTS,1,NM,ALBUQUERQUE,87102.0
"535MEDIA, LLC",1,PA,TARENTUM,15084.0
547 ENERGY MANAGEMENT LLC,1,TX,HOUSTON,77002.0
55 SANDALWOOD ENTERPRISES DBA MCGUIRES HEARING CENTERS,1,NY,CENTEREACH,11720.0
55I LLC,1,MA,BOSTON,2109.0
58 BAKERY INC DBA PARIS BAGUETTE,1,MA,CAMBRIDGE,2139.0
5DLIGHT INC,1,CA,ONTARIO,91764.0
5IVE MICRONS DBA FIVE MICRONS,1,CA,FRESNO,93720.0
5M CONSTRUCTION CORPORATION,2,GU,BARRIGADA,96921.0
5MILES LLC,2,TX,DALLAS,75254.0
5MS MINERALS MANAGEMENT LLC,1,TX,FORT WORTH,76102.0
5W PUBLIC RELATIONS LLC,1,NY,NEW YORK,10171.0
6 RIVER SYSTEMS LLC,9,MA,WALTHAM,2452.0
"60 DECIBELS, INC.",1,NY,NEW YORK,10017.0
605 LLC,1,NY,NEW YORK,10010.0
"605, LLC",1,NY,NEW YORK,10010.0
617MEDIAGROUP LLC DBA 617MEDIAGROU,1,MA,WALTHAM,2453.0
630 AEROSPACE INC,1,FL,MIAMI LAKES,33014.0
64 X INC,1,CA,SAN FRANCISCO,94107.0
650 INDUSTRIES INC,1,CA,PALO ALTO,94301.0
66DEGREES LLC,1,IL,CHICAGO,60607.0
6AI INC,3,VA,ASHBURN,20147.0
6BLU INC,1,CA,CITY OF INDUSTRY,91746.0
6BLU INC.,1,CA,CITY OF INDUSTRY,91746.0
6COM INC,48,NJ,PISCATAWAY,8854.0
6D BYTES INC DBA BLENDID,1,CA,SUNNYVALE,94085.0
6E TECHNOLOGIES LLC,3,CO,DENVER,80226.0
6ELM CAPITAL LP,1,NY,NEW YORK,10003.0
6SENSE INSIGHTS INC,6,CA,SAN FRANCISCO,94105.0
7 DAYS NYC INC,1,NY,NEW YORK,10002.0
7 ELEVEN INC,34,TX,IRVING,75063.0
7 KINGS CODE LLC,3,FL,PARKLAND,33067.0
7 OCEANS INSIGHT & INNOVATION INC,1,NY,MINEOLA,11501.0
701X INC,1,ND,FARGO,58103.0
720 WORLDWIDE INC,2,IL,CHICAGO,60603.0
777 PARTNERS LLC,2,FL,MIAMI,33131.0
7CINFO COM INC,12,ND,FARGO,58103.0
7L INTERNATIONAL INC,1,NY,NEW YORK,10017.0
7PARK DATA INC,2,NY,NEW YORK,10016.0
7THONLINE INC,2,NY,NEW YORK,10018.0
8 RIVERS SERVICES LLC,2,NC,DURHAM,27701.0
80 ACRES URBAN AGRICULTURE  INC,1,OH,HAMILTON,45011.0
817 DENTAL PLLC,1,TX,CLEBURNE,76033.0
81DESIGNS INC D/B/A CODELATION,1,ND,FARGO,58102.0
828 LOGISTICS,1,OH,BLUE ASH,45242.0
84 51 LLC,8,OH,CINCINNATI,45202.0
87P LLC,2,IL,CAROL STREAM,60188.0
88RISING INC,1,CA,LOS ANGELES,90038.0
89CRYPTONIAN CORPORATION,1,NY,NEW YORK,10017.0
8K MILES HEALTH CLOUD INC,2,NJ,EAST BRUNSWICK,8816.0
8K MILES SOFTWARE SERVICES INC,23,CA,PLEASANTON,94588.0
8MINUTE SOLAR ENERGY LLC,3,CA,EL DORADO HILLS,95762.0
8MSOLAR LLC,1,NC,CARY,27511.0
8TECH INNOVATE LLC,1,CA,SACRAMENTO,95815.0
8TREE LLC,1,CA,RCH CUCAMONGA,91739.0
8X8 INC,9,CA,SAN JOSE,95131.0
9 STAR TECHNOLOGIES LLC,5,MD,COLUMBIA,21045.0
906 TECHNOLOGIES LLC,1,MI,MARQUETTE,49855.0
92 HALO OPCO LP DBA ANGELICA,1,IL,OAKBROOK TERRACE,60181.0
969 LLC DBA THE VILLAGE,1,CA,SAN FRANCISCO,94103.0
97 LABS INC,1,NY,NEW YORK,10028.0
98POINT6 INC,8,WA,SEATTLE,98104.0
99 CENTS ONLY STORES LLC,3,CA,LOS ANGELES,90023.0
99 FAVOR TASTE RESTAURANT INC,1,NY,NEW YORK,10002.0
99DEGREES CUSTOM INC,1,MA,LAWRENCE,1843.0
99MEDIALAB LLC,1,VA,FREDERICKSBURG,22408.0
9DOTS TECHNOLOGY INC,4,MI,FARMINGTN HLS,48335.0
9FOLD LLC,1,NY,NEW YORK,10011.0
9LLABS LLC,2,WA,BELLEVUE,98004.0
9LOGIC TECHNOLOGIES INC,54,WA,REDMOND,98052.0
9M SOLUTIONS INC,14,NC,CHARLOTTE,28217.0
9TH DIMENSION LLC,1,IL,CHICAGO,60614.0
9THNETWORKS INC,20,NH,MADBURY,3823.0
9TO5 SEATING LLC,1,CA,HAWTHORNE,90250.0
9TO9 SOFTWARE SOLUTIONS LLC,2,CT,EAST BERLIN,6023.0
A & A CONSULTANTS INC,1,PA,MC KEES ROCKS,15136.0
A & A EVER BROTHERS INC DBA MONTES,1,CA,LAKE FOREST,92630.0
A & B ACCOUNTING CORP,1,CA,ARCADIA,91007.0
A & B ENVIRONMENTAL SERVICES INC,11,TX,HOUSTON,77029.0
A & B FOUNDRY LLC,2,OH,FRANKLIN,45005.0
"A & C TRADE CONSULTANTS, INC.",1,CA,BURLINGAME,94010.0
A & F ENGINEERING CO LLC,2,IN,INDIANAPOLIS,46240.0
A & H TECHNOLOGIES LLC,2,TX,FRISCO,75035.0
A & R ENGINEERING INC,1,GA,MARIETTA,30067.0
A & T CORP,1,NY,FLUSHING,11358.0
A & W PRODUCTS INC,1,MI,TROY,48085.0
A 1 HEALTHCARE MANAGEMENT,1,CA,HUNTINGTON BEACH,92649.0
A 1 REHAB & RECRUITMENT SERVICES INC,1,CA,FAIRFIELD,94534.0
A 1 REHAB & RECRUITMENT SVCS INC,2,CA,FAIRFIELD,94533.0
A 1 ROOF MANAGEMENT&CONSTRUCTION,1,CA,SAN LEANDRO,94577.0
A 1 WORLDWIDE LOGISTICS INC,1,FL,NORTH MIAMI,33161.0
A 3 BY AIRBUS LLC,5,CA,SUNNYVALE,94086.0
A A ANDERSON & CO INC DBA ANDERSON,1,WI,BROOKFIELD,53045.0
A A GLOBAL IMPORTS INC,1,CA,VERNON,90058.0
A AND A INDUSTRIES INC,1,MA,PEABODY,1960.0
A AND F PLASTERING INC,1,CA,AROMAS,95004.0
A AND R ERECTORS INC,1,IN,INDIANAPOLIS,46234.0
A B PROPERTY SERVICES INC,1,FL,MIAMI,33162.0
A C KINGS LLC,1,CA,NEWPORT BEACH,92660.0
A C PRINTING LLC,1,TX,EULESS,76040.0
A CARING DOCTOR NEW JERSEY P C,1,WA,VANCOUVER,98683.0
A CARING DOCTOR PC DBA BANFIELD PE,1,WA,VANCOUVER,98683.0
A CARING DOCTOR TEXAS P C DBA BANF,1,WA,VANCOUVER,98683.0
A CARING DOCTOR TEXAS PC,1,WA,VANCOUVER,98683.0
A CARING DOCTOR TEXAS PC DBA BANFI,4,WA,VANCOUVER,98683.0
A CARING DOCTOR TEXAS PC DBA BANFIELD PET HOSPITAL,1,WA,VANCOUVER,98683.0
"A CARING DOCTOR TEXAS, P.C.",2,WA,VANCOUVER,98683.0
A CARING DR MINNESOTA PA DBA BANFI,1,WA,VANCOUVER,98683.0
A CARING DR PC DBA BANFIELD PET HO,1,WA,VANCOUVER,98683.0
A CARING DR TEXAS PC DBA BANFIELD,2,WA,VANCOUVER,98683.0
A CHINA GLOBAL LOGISTICS INC,1,NY,FLUSHING,11354.0
A CST GROUP INC DBA DYNASEL USA,1,CA,SANTA CLARA,95054.0
A D BANKER AND COMPANY LLC,2,KS,OVERLAND PARK,66213.0
A F PAREDES & CO CPAS LLP,1,NJ,PISCATAWAY,8854.0
A F PAREDES AND CO CPAS LLP,1,NJ,PISCATAWAY,8854.0
A FARKAS LLC,1,NY,NEW YORK,10036.0
A FODERA & SON INC DBA FODERA FOOD,1,NY,CORONA,11368.0
A G ASSOCIATES INC,1,MD,COLUMBIA,21044.0
A G CONSULTING ENGINEERING PC,1,NY,NEW YORK,10001.0
A G I A INC,1,CA,CARPINTERIA,93013.0
A G RHODES HOME COBB IN CD/B/A A G,1,GA,ATLANTA,30329.0
A G SIMPSON USA INC,1,MI,STERLING HEIGHTS,48312.0
A I ARTIST STUDIO INC,1,NC,MATTHEWS,28105.0
A I PORTFOLIO INC,2,CA,MILPITAS,95035.0
A J CAPITAL INC,1,CA,ALHAMBRA,91803.0
A K S INTERNATIONAL INC,1,NY,ASTORIA,11105.0
A LINE STAFFING SOLUTIONS,3,MI,UTICA,48317.0
A LINE STAFFING SOLUTIONS LLC,1,MI,UTICA,48317.0
A MAX INSURANCE SERVICES INC,1,TX,DALLAS,75247.0
A MAX INSURANCE SERVICES INC D/B/A,1,TX,DALLAS,75247.0
A MEDIUM CORPORATION,1,CA,SAN FRANCISCO,94103.0
A MODO MIO INC DBA ET VOILA,1,DC,WASHINGTON,20016.0
A O E LAW & ASSOCIATES,1,CA,LOS ANGELES,90071.0
A O FOX MEMORIAL HOSPITAL,5,NY,ONEONTA,13820.0
A O SMITH CORPORATION,2,WI,MILWAUKEE,53224.0
A PATEL DDS INC DBA PROSMILE FAMIL,1,CA,MODESTO,95350.0
A PERFECT SMILE ORTHODONTICS P C,1,TX,MCALLEN,78501.0
"A PLACE OF HOPE, LLC",1,OH,DAYTON,45402.0
A PLUS A BELL FALLA LLC,1,NJ,NEWARK,7102.0
A PLUS ADULT DAY HEALTH CARE,1,CA,BALDWIN PARK,91706.0
A PLUS ADULT DAY HEALTH CARE INC,1,CA,BALDWIN PARK,91706.0
A PLUS CONSTRUCTION SVCS CORP,2,MA,NORWELL,2061.0
A PLUS DENTAL PLLC ALL STAR SMILES,1,TX,ARLINGTON,76010.0
A PLUS INTERNATIONAL CULTURE COMMUNICATION INC,1,MI,LANSING,48906.0
A R ALL GODS CHILDREN LLC DBA SHOUT HOUSE,2,TX,CONROE,77301.0
A R T ADVISORS LLC,1,NY,NEW YORK,10005.0
A S GILL DENTAL CORP DBA GILL FAMILY DENTISTRY,1,CA,MODESTO,95355.0
A SHA FOODS USA CO INC,1,CA,ALHAMBRA,91803.0
A SOCIETY GROUP INC,1,CA,PALO ALTO,94301.0
A SONIC LOGISTICS USA INC,1,NY,VALLEY STREAM,11580.0
A SQUARE GROUP LLC,2,MD,FREDERICK,21704.0
A SQUARED BUS & CONSULTING LLC,1,OH,SPRINGBORO,45066.0
A SQUARED BUSINESSES AND CONSULTIN,8,OH,SPRINGBORO,45066.0
A SQUARED BUSINESSES AND CONSULTING LLC,22,OH,SPRINGBORO,45066.0
A T ENGINEERING P C,1,NY,FLUSHING,11358.0
A T KEARNEY,23,IL,CHICAGO,60606.0
A T KEARNEY INC,58,IL,CHICAGO,60606.0
A T STILL UNIV OF HLTH SCIENCES,4,MO,KIRKSVILLE,63501.0
A T STILL UNIVERSITY OF HEALTH SCIENCES,2,MO,KIRKSVILLE,63501.0
A T VILLA INC,1,WI,MILWAUKEE,53226.0
A TECH SYSTEM LLC,3,FL,CORAL SPRINGS,33071.0
A TO Z MEDICAL CARE P C,1,NY,OZONE PARK,11417.0
A TO Z PHYSICAL THERAPY PC,1,NY,HOWARD BEACH,11414.0
A U VISTA INC,1,CA,IRVINE,92618.0
A V SERVICES,2,NJ,FAIRFIELD,7004.0
A VENTERPRISEINC,74,GA,CUMMING,30041.0
A Z PHARMACEUTICAL INC,2,NY,HAUPPAUGE,11788.0
A Z RECYCLING INC,1,OH,COLUMBUS,43219.0
A Z WHOLESALERS INC,1,TX,DALLAS,75229.0
A&A INFOSYSTEMS INC,5,TX,IRVING,75039.0
A&A OPTICAL COMPANY,1,TX,CARROLLTON,75006.0
A&B FOUNDRY & MACHINING LLC,3,OH,FRANKLIN,45005.0
A&B FOUNDRY LLC,1,OH,FRANKLIN,45005.0
